10039,62131,1999-01-16,2000-01-16
10052,60084,1999-01-31,2000-01-31
10056,70163,1999-01-30,2000-01-30
10057,60966,1999-01-13,2000-01-13
10089,71560,1999-01-08,2000-01-08
10096,61395,1999-01-23,2000-01-23
10102,51641,1999-01-01,2000-01-01
10103,70524,1999-01-12,2000-01-12
10118,50794,1999-01-31,2000-01-31
10123,87050,1999-01-14,2000-01-14
10129,48565,1999-01-15,2000-01-15
10135,55759,1999-01-02,2000-01-02
10155,62215,1999-01-03,2000-01-03
10163,59126,1999-01-31,2000-01-31
10196,86671,1999-01-31,2000-01-31
10212,74635,1999-01-27,2000-01-27
10218,47492,1999-01-31,2000-01-31
10224,58655,1999-01-06,2000-01-06
10226,84626,1999-01-28,2000-01-28
10242,64805,1999-01-15,2000-01-15
10246,60498,1999-01-30,2000-01-30
10260,73706,1999-01-31,2000-01-31
10262,67957,1999-01-21,2000-01-21
10280,74392,1999-01-26,2000-01-26
10294,66448,1999-01-30,1999-05-04
10299,93012,1999-01-08,2000-01-08
10314,80800,1999-01-13,2000-01-13
10317,51129,1999-01-24,2000-01-24
10322,66027,1999-01-27,2000-01-27
10329,81884,1999-01-17,2000-01-17
10333,59301,1999-01-15,2000-01-15
10355,75953,1999-01-25,2000-01-25
10384,72868,1999-01-13,2000-01-13
10387,66524,1999-01-06,2000-01-06
10391,67555,1999-01-27,2000-01-27
10396,61512,1999-01-08,2000-01-08
10406,46480,1999-01-25,2000-01-25
10420,87340,1999-01-14,2000-01-14
10422,54359,1999-01-02,2000-01-02
10436,68715,1999-01-27,2000-01-27
10438,63130,1999-01-17,2000-01-17
10485,53949,1999-01-20,2000-01-20
10491,81138,1999-01-15,2000-01-15
10497,80962,1999-01-20,2000-01-20
10511,53735,1999-01-25,2000-01-25
10527,50854,1999-01-24,2000-01-24
10534,43987,1999-01-26,2000-01-26
10550,64113,1999-01-31,2000-01-31
10576,85402,1999-01-01,2000-01-01
10585,67684,1999-01-07,2000-01-07
10589,66695,1999-01-25,2000-01-25
10607,58289,1999-01-12,2000-01-12
10623,77042,1999-01-13,2000-01-13
10630,44920,1999-01-13,2000-01-13
10646,52197,1999-01-30,2000-01-30
10651,48089,1999-01-07,2000-01-07
10661,63871,1999-01-09,2000-01-09
10663,67568,1999-01-22,2000-01-22
10665,63983,1999-01-20,2000-01-20
10675,77552,1999-02-01,2000-02-01
10693,57922,1999-01-05,2000-01-05
10694,70963,1999-01-23,2000-01-23
10702,67969,1999-01-12,2000-01-12
10709,67804,1999-01-30,2000-01-30
10722,82363,1999-01-15,2000-01-15
10727,81702,1999-01-06,2000-01-06
10741,78337,1999-01-04,2000-01-04
10745,65081,1999-01-20,2000-01-20
10754,85363,1999-01-08,2000-01-08
10762,67813,1999-01-19,2000-01-19
10774,61692,1999-01-24,2000-01-24
10779,69964,1999-01-08,2000-01-08
10789,40429,1999-01-26,2000-01-26
10822,71714,1999-01-08,2000-01-08
10826,71701,1999-01-21,2000-01-21
10837,101702,1999-01-11,2000-01-11
10841,56041,1999-01-20,2000-01-20
10845,79229,1999-01-25,2000-01-25
10846,44274,1999-01-16,2000-01-16
10858,50718,1999-01-01,2000-01-01
10860,41475,1999-01-22,2000-01-22
10870,87343,1999-01-10,2000-01-10
10876,68763,1999-01-28,1999-09-14
10880,56449,1999-01-09,2000-01-09
10898,69581,1999-01-07,2000-01-07
10917,88943,1999-01-29,2000-01-29
10942,45294,1999-01-20,2000-01-20
10979,75682,1999-01-24,2000-01-24
10980,80455,1999-01-02,2000-01-02
11000,59902,1999-01-27,2000-01-27
11004,57520,1999-01-17,2000-01-17
11022,91794,1999-02-01,2000-02-01
11037,65377,1999-01-25,2000-01-25
11040,76543,1999-01-19,2000-01-19
11041,70183,1999-01-23,2000-01-23
11046,80125,1999-01-20,2000-01-20
11063,43290,1999-01-08,2000-01-08
11086,59103,1999-01-18,2000-01-18
11098,44690,1999-01-08,2000-01-08
11105,84045,1999-01-11,2000-01-11
11115,45364,1999-01-13,2000-01-13
11120,106697,1999-01-19,2000-01-19
11166,50907,1999-01-30,2000-01-30
11167,51515,1999-01-08,2000-01-08
11185,45343,1999-01-25,2000-01-25
